canonical,variant,type
3i Group,3iGroup,punctuation
3i Group,3I GROUP,typography
3i Group,3i group,typography
a.s.r,asr,abbreviation
a.s.r,A.S.R,typography
a.s.r,a.s.r,typography
AAA,AAA,punctuation
AAA,aaa,typography
AARC,AARC,punctuation
AARC,aarc,typography
Abbott,Abbott,punctuation
Abbott,ABBOTT,typography
Abbott,abbott,typography
AbbVie,AbbVie,punctuation
AbbVie,ABBVIE,typography
AbbVie,abbvie,typography
Absa Group,Absa,partial
Absa Group,AbsaGroup,punctuation
Absa Group,ABSA GROUP,typography
Absa Group,absa group,typography
Accenture,Accenture,punctuation
Accenture,ACCENTURE,typography
Accenture,accenture,typography
Access Spectrum,Access,partial
Access Spectrum,AccessSpectrum,punctuation
Access Spectrum,ACCESS SPECTRUM,typography
Access Spectrum,access spectrum,typography
ACCIONA,ACCIONA,punctuation
ACCIONA,acciona,typography
Accor,Accor,punctuation
Accor,ACCOR,typography
Accor,accor,typography
Accord Business Consulting,ABC,abbreviation
Accord Business Consulting,Accord,partial
Accord Business Consulting,Accord Business,brand_parent
Accord Business Consulting,AccordBusinessConsulting,punctuation
Accord Business Consulting,Accord Business Consulting,legal_suffix
Accord Business Consulting,ACCORD BUSINESS CONSULTING,typography
Accord Business Consulting,accord business consulting,typography
"ACS, Activities of Construction and Services",ACS,partial
"ACS, Activities of Construction and Services",AAoCaS,abbreviation
"ACS, Activities of Construction and Services",ACS Activities of Construction and,brand_parent
"ACS, Activities of Construction and Services",ACSActivitiesofConstructionandServices,punctuation
"ACS, Activities of Construction and Services","ACS, Activities of Construction and Services",legal_suffix
"ACS, Activities of Construction and Services","ACS, ACTIVITIES OF CONSTRUCTION AND SERVICES",typography
"ACS, Activities of Construction and Services","acs, activities of construction and services",typography
ActuatedMedical,ActuatedMedical,punctuation
ActuatedMedical,ACTUATEDMEDICAL,typography
ActuatedMedical,actuatedmedical,typography
ADCB,ADCB,punctuation
ADCB,adcb,typography
Adecco,Adecco,punctuation
Adecco,ADECCO,typography
Adecco,adecco,typography
adidas,adidas,punctuation
adidas,ADIDAS,typography
AdKarma,AdKarma,punctuation
AdKarma,ADKARMA,typography
AdKarma,adkarma,typography
Adobe,Adobe,punctuation
Adobe,ADOBE,typography
Adobe,adobe,typography
ADP,ADP,punctuation
ADP,adp,typography
ADS Alliance Data Systems,ADS,partial
ADS Alliance Data Systems,AADS,abbreviation
ADS Alliance Data Systems,ADS Alliance Data,brand_parent
ADS Alliance Data Systems,ADSAllianceDataSystems,punctuation
ADS Alliance Data Systems,ADS ALLIANCE DATA SYSTEMS,typography
ADS Alliance Data Systems,ads alliance data systems,typography
Advanced Bank of Asia,ABoA,abbreviation
Advanced Bank of Asia,Advanced,partial
Advanced Bank of Asia,Advanced Bank of,brand_parent
Advanced Bank of Asia,AdvancedBankofAsia,punctuation
Advanced Bank of Asia,ADVANCED BANK OF ASIA,typography
Advanced Bank of Asia,advanced bank of asia,typography
ADVANCED INFO SERVICE,AIS,abbreviation
ADVANCED INFO SERVICE,ADVANCED,partial
ADVANCED INFO SERVICE,ADVANCED INFO,brand_parent
ADVANCED INFO SERVICE,ADVANCEDINFOSERVICE,punctuation
ADVANCED INFO SERVICE,ADVANCED INFO SERVICE,typography
ADVANCED INFO SERVICE,advanced info service,typography
Advantage Software,Advantage,partial
Advantage Software,AdvantageSoftware,punctuation
Advantage Software,ADVANTAGE SOFTWARE,typography
Advantage Software,advantage software,typography
Advantage Solutions,AS,abbreviation
Advantage Solutions,Advantage,partial
Advantage Solutions,AdvantageSolutions,punctuation
Advantage Solutions,ADVANTAGE SOLUTIONS,typography
Advantage Solutions,advantage solutions,typography
Adventist Health and Rideout,AHaR,abbreviation
Adventist Health and Rideout,AdventistHealthandRideout,punctuation
Adventist Health and Rideout,ADVENTIST HEALTH AND RIDEOUT,typography
Adventist Health and Rideout,adventist health and rideout,typography
Adventist Health St. Helena,AHSH,abbreviation
Adventist Health St. Helena,Adventist Health St,brand_parent
Adventist Health St. Helena,AdventistHealthStHelena,punctuation
Adventist Health St. Helena,ADVENTIST HEALTH ST. HELENA,typography
Adventist Health St. Helena,adventist health st. helena,typography
Advocate Health Care,AHC,abbreviation
Advocate Health Care,Advocate,partial
Advocate Health Care,Advocate Health,brand_parent
Advocate Health Care,AdvocateHealthCare,punctuation
Advocate Health Care,ADVOCATE HEALTH CARE,typography
Advocate Health Care,advocate health care,typography
