canonical,variant,type
Cifi Group,CIFI GROUP,typography
Huatai Securities,HUATAI SECURITIES,typography
DENSO,denso,typography
Bank of Baroda,BANK OF BARODA,typography
Alkermes,Alkermes,punctuation
Ferguson Enterprises,FERGUSON ENTERPRISES,typography
KEPCO THE KANSAI ELECTRIC POWER,kepco the kansai electric power,typography
PARAMOUNT RESIDENTIAL MORTGAGE GROUP,PRMG,abbreviation
Fastenal,Fastenal,punctuation
Visa,VISA,typography
AICHI STEEL,aichi steel,typography
Wilmar International,WILMAR INTERNATIONAL,typography
Leon's,Leon,partial
INPEX CORPORATION,INPEX,legal_suffix
Deluxe Entertainment,deluxe entertainment,typography
SUNTORY BEVERAGE & FOOD,SUNTORY BEVERAGE & FOOD,typography
SUMITOMO METAL MINING,SUMITOMO METAL MINING,typography
Douglas Elliman Real Estate,Douglas,partial
United States Steel,UNITED STATES STEEL,typography
OBAYASHI CORPORATION,OBAYASHI,legal_suffix
Marathon Petroleum,MARATHON PETROLEUM,typography
British American Tobacco,british american tobacco,typography
HOYA Corporation,hoya corporation,typography
Waterite,WATERITE,typography
BNP Paribas,BNP,partial
United Rotary Brush,united rotary brush,typography
Shoppers Drug Mart,SHOPPERS DRUG MART,typography
Takeda Pharmaceutical Company,Takeda Pharmaceutical,legal_suffix
Compass Group,Compass Group,legal_suffix
Prudential Financial,PrudentialFinancial,punctuation
Dixon Hughes Goodman,dixon hughes goodman,typography
Royal Bank of Scotland,Royal Bank of Scotland,legal_suffix
Yuanta Financial Holding,YuantaFinancialHolding,punctuation
Dell Technologies,DellTechnologies,punctuation
United Parcel Service of America,UPSoA,abbreviation
DB Insurance,db insurance,typography
Munich Re,MUNICH RE,typography
TUI Group,tui group,typography
Deutsche Telekom,Deutsche,partial
Pembina Pipeline Corporation,Pembina,partial
Massachusetts Mutual Life Insurance Company (MassMutual),massachusetts mutual life insurance company (massmutual),typography
Carlsberg Breweries,carlsberg breweries,typography
Annaly Capital Management,annaly capital management,typography
Shionogi,SHIONOGI,typography
Listrak,listrak,typography
Turner Broadcasting System,Turner Broadcasting,brand_parent
Delta Air Lines,DELTA AIR LINES,typography
Mizuho Financial,Mizuho,partial
Cintas,CINTAS,typography
Aluminum Corp,ALUMINUM CORP,typography
GlaxoSmithKline,GLAXOSMITHKLINE,typography
Hon Hai Precision,Hon Hai,brand_parent
Berry Global,berry global,typography
SSE,SSE,punctuation
Farm Credit West,FCW,abbreviation
Adventist Health St. Helena,AdventistHealthStHelena,punctuation
Micro Modular System,Micro Modular,brand_parent
SHI International,SHI INTERNATIONAL,typography
Banco Santander,BancoSantander,punctuation
People's Insurance,People'sInsurance,punctuation
JogoBonito Soccers,JOGOBONITO SOCCERS,typography
Kingston Hospital NHS Foundation Trust,Kingston Hospital NHS Foundation,brand_parent
New York Community Bank,NewYorkCommunityBank,punctuation
MOL GROUP,MOL GROUP,typography
PetroChina,petrochina,typography
Boston Consulting Group,BCG,abbreviation
Geely Automobile Holdings,GEELY AUTOMOBILE HOLDINGS,typography
BNP Paribas Mutual Fund,BNP,partial
American Family Insurance,american family insurance,typography
Woodforest National Bank,WNB,abbreviation
AGL Energy,AGLEnergy,punctuation
Essity Aktiebolag,EssityAktiebolag,punctuation
TMMC,TMMC,punctuation
Jeronimo Martins,JeronimoMartins,punctuation
Convoy Supply,ConvoySupply,punctuation
Google,Google,punctuation
Ford Motor Company,FMC,abbreviation
Inovata Foods,INOVATA FOODS,typography
Samsung SDI,Samsung,partial
Takeda Pharmaceutical,TAKEDA PHARMACEUTICAL,typography
T. Rowe Price,t. rowe price,typography
Anheuser-Busch InBev,Anheuser Busch,brand_parent
SENTEXT SOLUTIONS,SENTEXT,partial
SUMITOMO METAL MINING,sumitomo metal mining,typography
ONEX Corporation,onex corporation,typography
Power Corporation of Canada,PowerCorporationofCanada,punctuation
United Parcel Service of America,UNITED PARCEL SERVICE OF AMERICA,typography
Edwards Lifesciences Corporation,EdwardsLifesciencesCorporation,punctuation
Vistra Corp,Vistra,legal_suffix
ConnectBlue Technologies,ConnectBlueTechnologies,punctuation
BDO Unibank,bdo unibank,typography
Simcoe Home Furniture,Simcoe Home,brand_parent
Yum! Brands,YUM! BRANDS,typography
United Rotary Brush,UnitedRotaryBrush,punctuation
Yuanta Financial Holding,yuanta financial holding,typography
Centene,CENTENE,typography
Inovata Foods,InovataFoods,punctuation
AICHI STEEL,AICHI,partial
Republic Finance,republic finance,typography
Metropolitan Bank and Trust,MetropolitanBankandTrust,punctuation
UNIPOL GRUPPO,UNIPOL,partial
Shanghai Construction Group,Shanghai Construction Group,legal_suffix
ASAHI GROUP HOLDINGS,ASAHIGROUPHOLDINGS,punctuation
State Street,STATE STREET,typography
Kellogg,kellogg,typography
Kweichow Moutai,KWEICHOW MOUTAI,typography
AISIN SEIKI,aisin seiki,typography
AYALA CORPORATION,AYALA CORPORATION,typography
Astellas Pharma,astellas pharma,typography
Munich Re,munich re,typography
INSURANCE AUSTRALIA GROUP,insurance australia group,typography
HUB International,hub international,typography
Krungthai Bank,krungthai bank,typography
Willis Towers Watson,Willis,partial
Samsung SDI,SamsungSDI,punctuation
The Northwestern Mutual Life Insurance Company,The Northwestern Mutual Life Insurance,legal_suffix
macys.com,MACYS.COM,typography
Zurich,ZURICH,typography
Teachers Insurance and Annuity Association of America-College Retirement Equities Fund,TeachersInsuranceandAnnuityAssociationofAmerica-CollegeRetirementEquitiesFund,punctuation
QUICKCHEK,QUICKCHEK,punctuation
Systemair,SYSTEMAIR,typography
Ping An Insurance (Group) Company of China,PING AN INSURANCE (GROUP) COMPANY OF CHINA,typography
Power Grid Corporation of India,PGCoI,abbreviation
JULIUS BAER,JB,abbreviation
KDDI,KDDI,punctuation
Otsuka Holding,Otsuka,partial
DISH Network,dish network,typography
Shearer's Foods,Shearer'sFoods,punctuation
Harrison Medical Centre,HarrisonMedicalCentre,punctuation
PULTEGROUP,PULTEGROUP,punctuation
DoorDash,DoorDash,punctuation
Oracle,Oracle,punctuation
Fosun International,Fosun,partial
Woodside,WOODSIDE,typography
KOREA GAS CORPORATION,KOREAGASCORPORATION,punctuation
Apotex,Apotex,punctuation
Tesla,Tesla,punctuation
RCB Chemicals & Services,RCBChemicalsServices,punctuation
Intel,Intel,punctuation
Deutsche Wohnen,DEUTSCHE WOHNEN,typography
Latitude Group,Latitude,partial
Allman Electric,AllmanElectric,punctuation
FUJIFILM Holdings,FUJIFILM,partial
Boone Hospital Center,BHC,abbreviation
Bank of America,bank of america,typography
Unum Group,UNUM GROUP,typography
Royal Caribbean International,royal caribbean international,typography
Volkswagen,Volkswagen,punctuation
Dzine Media,dzine media,typography
Xcel Energy,XCEL ENERGY,typography
Intuit,INTUIT,typography
EY,EY,punctuation
Kuehne+Nagel,Kuehne+Nagel,punctuation
Armor Lite Trailers,ArmorLiteTrailers,punctuation
GF Securities,gf securities,typography
Gap,gap,typography
Whirlpool Corporation,WhirlpoolCorporation,punctuation
GAC Motor,GAC MOTOR,typography
Laboratory Corporation of America Holdings,Laboratory Corporation of America,brand_parent
Pembina Pipeline Corporation,PPC,abbreviation
SDIC.com.cn,SDIC,partial
Horizon Community Bank,Horizon Community,brand_parent
Cox Communications,COX COMMUNICATIONS,typography
Australia and New Zealand Banking Group,australia and new zealand banking group,typography
Delta Air Lines,delta air lines,typography
Fortescue Metals Group,Fortescue,partial
KCWW,KCWW,punctuation
GKN Sinter Metals Engineering,GKN,partial
Swire Pacific,SwirePacific,punctuation
Rolls-Royce,RR,abbreviation
NCB,NCB,punctuation
Raytheon Technologies,RaytheonTechnologies,punctuation
Douglas Elliman Real Estate,DouglasEllimanRealEstate,punctuation
Westpac Banking,westpac banking,typography
JPMorgan Chase & Co.,JCC,abbreviation
WEC Energy Group,WECEnergyGroup,punctuation
Home Depot Product Authority,HDPA,abbreviation
AICHI ELECTRIC,AICHIELECTRIC,punctuation
Solvay,Solvay,punctuation
Lakeside Foods,lakeside foods,typography
Leonardo,Leonardo,punctuation
Moody's Investors Service,Moody s Investors,brand_parent
PPG Industries,PPG INDUSTRIES,typography
Coop Pank,CoopPank,punctuation
Investec,investec,typography
Bank Negara Indonesia,BANK NEGARA INDONESIA,typography
FUNAI ELECTRIC,funai electric,typography
Huntington National Bank,huntington national bank,typography
Amicus Enterprises,AMICUS ENTERPRISES,typography
BioSpectra,biospectra,typography
Naturgy,Naturgy,punctuation
NEWS AMERICA MARKETING,NEWS AMERICA,brand_parent
SoftBank,SoftBank,punctuation
Microsoft,microsoft,typography
Tencent,tencent,typography
Norwegian Cruise Line Holdings,Norwegian Cruise Line,brand_parent
EarthSoft,EARTHSOFT,typography
Charles Schwab & Co.,CharlesSchwabCo,punctuation
macys.com,macys,partial
Atrium Health,AtriumHealth,punctuation
Telenor Group,telenor group,typography
CSCEC,CSCEC,punctuation
Walgreens Boots Alliance,Walgreens Boots,brand_parent
Social Coup,SocialCoup,punctuation
Cummins,cummins,typography
Bank Pekao,BANK PEKAO,typography
COX ENTERPRISES,cox enterprises,typography
psbc.com,psbc,partial
Amcor,amcor,typography
SHI International,shi international,typography
Rockland Trust,ROCKLAND TRUST,typography
FC Compassus,FC COMPASSUS,typography
Verisk Analytics,Verisk,partial
TORAY INDUSTRIES,toray industries,typography
China Huarong Asset Management,China Huarong Asset,brand_parent
NT Financial Services,NT FINANCIAL SERVICES,typography
PARAMOUNT RESIDENTIAL MORTGAGE GROUP,paramount residential mortgage group,typography
China General Nuclear Power Corporation,CHINA GENERAL NUCLEAR POWER CORPORATION,typography
IPG,ipg,typography
Tift Regional Medical Center,Tift Regional Medical,brand_parent
Oriental Land,oriental land,typography
PwC,pwc,typography
Weyerhaeuser,weyerhaeuser,typography
Hengrui Therapeutics,Hengrui,partial
Berkshire Hathaway,BerkshireHathaway,punctuation
Healthfirst,healthfirst,typography
Bank of Valletta,BANK OF VALLETTA,typography
DP World,dp world,typography
The Kraft Heinz Company,the kraft heinz company,typography
Phillips 66,PHILLIPS 66,typography
Fortum,FORTUM,typography
JPMorgan Chase & Co.,jpmorgan chase & co.,typography
Truphone Limited,TRUPHONE LIMITED,typography
Host Hotels & Resorts,HostHotelsResorts,punctuation
ICE Development,ICE DEVELOPMENT,typography
Attijariwafa Bank,ATTIJARIWAFA BANK,typography
Legrand,LEGRAND,typography
Hormel Foods Corporation,Hormel,partial
Stellar Development Foundation,Stellar Development,brand_parent
F. Hoffmann-La Roche,F Hoffmann La,brand_parent
SM Investments Corporation,SM Investments,legal_suffix
Grifols,grifols,typography
BBMG,BBMG,punctuation
DENTSU,dentsu,typography
NATIONAL BANK OF CANADA,NATIONAL BANK OF CANADA,typography
Key Corp,KeyCorp,punctuation
Liberty Global,Liberty,partial
First United Bank,FirstUnitedBank,punctuation
Mitchell International,MitchellInternational,punctuation
Equifax,EQUIFAX,typography
UCB,ucb,typography
Verizon,Verizon,punctuation
Shin Kong Group,SKG,abbreviation
Lufthansa,LUFTHANSA,typography
My Pathway,my pathway,typography
MTN Group Management Services,MTNGroupManagementServices,punctuation
Public Service Enterprise Group,PublicServiceEnterpriseGroup,punctuation
Myanmars Net Software,MYANMARS NET SOFTWARE,typography
Hargray Communications,HARGRAY COMMUNICATIONS,typography
Sumitomo Mitsui Banking,SUMITOMO MITSUI BANKING,typography
U Pack,U PACK,typography
Square Peg Capital,SquarePegCapital,punctuation
Telecom Italia Sparkle,telecom italia sparkle,typography
DoorDash,DOORDASH,typography
CTBC Financial,CTBC FINANCIAL,typography
