canonical,variant,type
Cifi Group,CIFI GROUP,typography
Huatai Securities,HUATAI SECURITIES,typography
PARAMOUNT RESIDENTIAL MORTGAGE GROUP,PRMG,abbreviation
Leon's,Leon,partial
INPEX CORPORATION,INPEX,legal_suffix
Douglas Elliman Real Estate,Douglas,partial
OBAYASHI CORPORATION,OBAYASHI,legal_suffix
BNP Paribas,BNP,partial
Takeda Pharmaceutical Company,Takeda Pharmaceutical,legal_suffix
United Parcel Service of America,UPSoA,abbreviation
Deutsche Telekom,Deutsche,partial
Pembina Pipeline Corporation,Pembina,partial
Turner Broadcasting System,Turner Broadcasting,brand_parent
Mizuho Financial,Mizuho,partial
Hon Hai Precision,Hon Hai,brand_parent
Farm Credit West,FCW,abbreviation
Micro Modular System,Micro Modular,brand_parent
Kingston Hospital NHS Foundation Trust,Kingston Hospital NHS Foundation,brand_parent
Boston Consulting Group,BCG,abbreviation
BNP Paribas Mutual Fund,BNP,partial
Woodforest National Bank,WNB,abbreviation
Ford Motor Company,FMC,abbreviation
Samsung SDI,Samsung,partial
Anheuser-Busch InBev,Anheuser Busch,brand_parent
SENTEXT SOLUTIONS,SENTEXT,partial
Vistra Corp,Vistra,legal_suffix
Simcoe Home Furniture,Simcoe Home,brand_parent
AICHI STEEL,AICHI,partial
UNIPOL GRUPPO,UNIPOL,partial
Willis Towers Watson,Willis,partial
The Northwestern Mutual Life Insurance Company,The Northwestern Mutual Life Insurance,legal_suffix
Power Grid Corporation of India,PGCoI,abbreviation
JULIUS BAER,JB,abbreviation
Otsuka Holding,Otsuka,partial
Fosun International,Fosun,partial
Latitude Group,Latitude,partial
FUJIFILM Holdings,FUJIFILM,partial
Boone Hospital Center,BHC,abbreviation
Laboratory Corporation of America Holdings,Laboratory Corporation of America,brand_parent
Pembina Pipeline Corporation,PPC,abbreviation
SDIC.com.cn,SDIC,partial
Horizon Community Bank,Horizon Community,brand_parent
Fortescue Metals Group,Fortescue,partial
GKN Sinter Metals Engineering,GKN,partial
Rolls-Royce,RR,abbreviation
JPMorgan Chase & Co.,JCC,abbreviation
Home Depot Product Authority,HDPA,abbreviation
Moody's Investors Service,Moody s Investors,brand_parent
NEWS AMERICA MARKETING,NEWS AMERICA,brand_parent
Norwegian Cruise Line Holdings,Norwegian Cruise Line,brand_parent
Charles Schwab & Co.,CharlesSchwabCo,punctuation
macys.com,macys,partial
Atrium Health,AtriumHealth,punctuation
Telenor Group,telenor group,typography
Walgreens Boots Alliance,Walgreens Boots,brand_parent
Social Coup,SocialCoup,punctuation
Cummins,cummins,typography
Bank Pekao,BANK PEKAO,typography
COX ENTERPRISES,cox enterprises,typography
psbc.com,psbc,partial
Amcor,amcor,typography
SHI International,shi international,typography
Verisk Analytics,Verisk,partial
China Huarong Asset Management,China Huarong Asset,brand_parent
Tift Regional Medical Center,Tift Regional Medical,brand_parent
Hengrui Therapeutics,Hengrui,partial
Hormel Foods Corporation,Hormel,partial
Stellar Development Foundation,Stellar Development,brand_parent
F. Hoffmann-La Roche,F Hoffmann La,brand_parent
SM Investments Corporation,SM Investments,legal_suffix
Liberty Global,Liberty,partial
Shin Kong Group,SKG,abbreviation
Colgate-Palmolive,Colgate,partial
Conagra Brands,Conagra,partial
Huatai Securities,Huatai,partial
Galaxy Entertainment Group,Galaxy Entertainment,brand_parent
China Merchants Bank,China Merchants,brand_parent
Granite Telecommunications,Granite,partial
Prudential Financial,Prudential,partial
Rolls-Royce,Rolls,partial
Donnelley Financial Solutions,Donnelley Financial,brand_parent
Tata Consultancy Services,Tata Consultancy,brand_parent
Sumitomo Mitsui Banking,Sumitomo,partial
China International Marine Containers Group,China International Marine Containers,brand_parent
Douglas Elliman Real Estate,DERE,abbreviation
Foshan Haitian flavouring & Food,Foshan,partial
MTR Foods,MTR,partial
East Penn Manufacturing,EPM,abbreviation
GENTEX CORPORATION,GENTEX,legal_suffix
Merck & Co.,Merck,partial
New York Community Bank,NYCB,abbreviation
Terna Engineering College,Terna Engineering,brand_parent
Novo Nordisk,Novo,partial
BAIC Motor Corporation,BAIC,partial
Restaurant Brands International,Restaurant Brands,brand_parent
KwaZulu-Natal Department of Health,KwaZulu Natal Department of,brand_parent
W. R. Berkley Corporation,W R Berkley,brand_parent
Leggett & Platt,Leggett,partial
Aeon Media Group,Aeon,partial
Lake View Credit Union,Lake View Credit,brand_parent
Ally Financial,Ally,partial
Occidental Petroleum,Occidental,partial
PJSC MMC Norilsk Nickel,PJSC MMC Norilsk,brand_parent
Tigercat International,Tigercat,partial
Cambodian National Insurance,Cambodian National,brand_parent
ADVANCED INFO SERVICE,ADVANCED,partial
Grupo Aval,Grupo,partial
International Consolidated Airlines Group,International Consolidated Airlines,brand_parent
First Data,First,partial
Freddie Mac,Freddie,partial
Brookfield Asset Managemen,Brookfield Asset,brand_parent
Metro Cast Network,Metro Cast,brand_parent
Telenor Group,Telenor,partial
MOL GROUP,MOL,partial
Arch Capital Group,Arch Capital,brand_parent
Hoosier Hills Credit Union,Hoosier Hills Credit,brand_parent
CAVENDER'S OUT OF STATE STORES LTD,CAVENDER'S OUT OF STATE STORES,legal_suffix
Inter-American Development Bank,Inter American Development,brand_parent
The Northwestern Mutual Life Insurance Company,TNMLIC,abbreviation
British American Tobacco,BAT,abbreviation
Bank of America,BoA,abbreviation
Wanhua Chemical Group,Wanhua Chemical,brand_parent
Gallagher,gallagher,typography
Lear Corporation,LearCorporation,punctuation
Bank Hapoalim,BankHapoalim,punctuation
Essity Aktiebolag,ESSITY AKTIEBOLAG,typography
Huntington National Bank,Huntington National,brand_parent
CenterPoint Energy,CenterPointEnergy,punctuation
Dimensional Fund Advisors,DIMENSIONAL FUND ADVISORS,typography
United Parcel Service of America,united parcel service of america,typography
Kia Motors,Kia,partial
Equity Residential,Equity,partial
Fortescue Metals Group,FORTESCUE METALS GROUP,typography
Polyphase Microwave,Polyphase,partial
TechKNOWvatioN,techknowvation,typography
Leon's,LEON'S,typography
Waste Connections,WasteConnections,punctuation
Oriental Land,ORIENTAL LAND,typography
Zurn Industries,ZURN INDUSTRIES,typography
wasp It labs,wasp It,brand_parent
Ecolab,ECOLAB,typography
Micro Modular System,micro modular system,typography
Zimmer Biomet,zimmer biomet,typography
Advanced Bank of Asia,Advanced Bank of,brand_parent
INPEX CORPORATION,INPEXCORPORATION,punctuation
Westlake Chemical Corporation,WESTLAKE CHEMICAL CORPORATION,typography
East West Bank,EastWestBank,punctuation
SailPoint Technologies Holdings,SailPoint,partial
J.F. Shea,JFShea,punctuation
McKesson,mckesson,typography
Illinois Tool Works,illinois tool works,typography
ASTI Holdings,ASTI,partial
Sky Bird Travel & Tours,Sky Bird Travel,brand_parent
Lendmark Financial Services,LendmarkFinancialServices,punctuation
Hewlett Packard Enterprise,HPE,abbreviation
CIL,cil,typography
SHI International,SHI,partial
Shanghai Pharmaceutical Group,Shanghai Pharmaceutical,brand_parent
Aeon Media Group,AMG,abbreviation
Norfolk Southern,Norfolk,partial
NRG Energy,NRG,partial
Murphy & Sitz Insurance Agency,Murphy Sitz Insurance,brand_parent
Trane Technologies,Trane,partial
SANY GROUP,SANY,partial
South32,South,partial
Formosa Plastics Corporation,Formosa,partial
Berkshire Hathaway,Berkshire,partial
BNP Paribas Mutual Fund,BPMF,abbreviation
Rogers Communications,Rogers,partial
Citizens National Bank,Citizens National,brand_parent
Dubai Islamic Bank,Dubai Islamic,brand_parent
NXP Semiconductors,NXP,partial
Ahold Delhaize,Ahold,partial
ISCISTECH Business Solutions,ISCISTECH Business,brand_parent
Constellation Brands,Constellation,partial
Sompo International,Sompo,partial
KnowBe4,KnowBe,partial
Industrial Alliance Insurance and Financial Services,Industrial Alliance Insurance and Financial,brand_parent
Pioneer Natural Resources,PNR,abbreviation
PTT Public Company Limited,PPCL,abbreviation
Alexion Pharmaceuticals,Alexion,partial
Tuple Predictive Labs,Tuple Predictive,brand_parent
NAN YA PLASTICS CORPORATION,NAN YA PLASTICS,legal_suffix
Adventist Health St. Helena,ADVENTIST HEALTH ST. HELENA,typography
Eni,ENI,typography
Banco de Sabadell,BancodeSabadell,punctuation
Samsung C&T,SamsungCT,punctuation
Cheniere Energy,CHENIERE ENERGY,typography
Empereon-Constar,EMPEREON-CONSTAR,typography
SVB Financial Group,SVB Financial,brand_parent
Spectrum Health,spectrum health,typography
JogoBonito Soccers,JogoBonito,partial
China National Petroleum Corporation,China National Petroleum,legal_suffix
China Reinsurance Group,china reinsurance group,typography
People's Insurance,people's insurance,typography
NetApp,netapp,typography
SDIC.com.cn,SDIC com,brand_parent
Licking Memorial Health Systems,LICKING MEMORIAL HEALTH SYSTEMS,typography
JPMorgan Chase & Co.,JPMorgan,partial
BAE Systems,BAESystems,punctuation
Investor AB,investor ab,typography
Northrop Grumman,NORTHROP GRUMMAN,typography
SailPoint Technologies Holdings,SAILPOINT TECHNOLOGIES HOLDINGS,typography
INSURANCE AUSTRALIA GROUP,INSURANCE AUSTRALIA,brand_parent
Mitchell International,mitchell international,typography
Cheniere Energy,Cheniere,partial
Cigna Life Insurance New Zealand,CIGNA LIFE INSURANCE NEW ZEALAND,typography
National Australia Bank Limited ABN,National Australia Bank Limited,brand_parent
Bayer,bayer,typography
Honeywell International,Honeywell,partial
Raymond James Financial,RaymondJamesFinancial,punctuation
Lendmark Financial Services,LENDMARK FINANCIAL SERVICES,typography
Intel Corporation Company,Intel,legal_suffix
China Yangtze Power,China Yangtze,brand_parent
Banco Bradesco,banco bradesco,typography
VMware,VMWARE,typography
Bell City Auto Center,bell city auto center,typography
AEGON Life Insurance,AEGON LIFE INSURANCE,typography
Raiffeisen Bank International,Raiffeisen Bank,brand_parent
Shoppers Drug Mart,shoppers drug mart,typography
CarGurus,CARGURUS,typography
The Siam Commercial Bank,TSCB,abbreviation
SENTEXT SOLUTIONS,SENTEXTSOLUTIONS,punctuation
First United Bank,First United,brand_parent
eBay,EBAY,typography
Bank of East Asia,BankofEastAsia,punctuation
Wells Fargo,WF,abbreviation
Magic Leap,magic leap,typography
Cardinal Health,CardinalHealth,punctuation
Solvay,SOLVAY,typography
Terumo Corporation,Terumo,legal_suffix
American Tire Distributors ,American Tire,brand_parent
Mitsubishi UFJ Financial Group,MITSUBISHI UFJ FINANCIAL GROUP,typography
Regions Bank,RegionsBank,punctuation
MTR Foods,MTRFoods,punctuation
TOYOTA MOTOR,TOYOTA,partial
Armor Lite Trailers,Armor Lite,brand_parent
Corey Auto Wreckers,Corey Auto,brand_parent
EDP Energias de Portugal,EDP,partial
Kotak Mahindra Bank,Kotak Mahindra,brand_parent
CarMax Business Services,CarMax Business,brand_parent
Exxon Mobil Corporation,Exxon,partial
Phoebe Putney Health System,PPHS,abbreviation
Office Depot,OD,abbreviation
Intact Financial Corporation,Intact Financial,legal_suffix
China Petrochemical Corporation,China Petrochemical,legal_suffix
The Siam Commercial Bank Public Company,The Siam Commercial Bank Public,legal_suffix
Tift Regional Medical Center,Tift,partial
Truist Financial,Truist,partial
Laboratory Corporation of America Holdings,LCoAH,abbreviation
Idemitsu Kosan,Idemitsu,partial
SUMITOMO METAL MINING,SUMITOMO,partial
WEC Energy Group,WEG,abbreviation
Canadian National Railway,Canadian,partial
SVB Financial Group,SVB,partial
SEGA Europe,SEGA,partial
The Siam Commercial Bank Public Company,TSCBPC,abbreviation
Norwegian Cruise Line Holdings,NCLH,abbreviation
Raymond James Financial,RJF,abbreviation
EDP Energias de Portugal,EDP Energias de,brand_parent
Amphenol Corporation,Amphenol,legal_suffix
